City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Iqaluit,CA,63.7506,-68.5145,-31.31,66,100,1.99,overcast clouds
80,Vestmanna,FO,62.1564,-7.1664,32.92,69,75,28.77,broken clouds
81,Cherskiy,RU,68.75,161.3,-0.72,91,100,6.4,overcast clouds
82,Khatanga,RU,71.9667,102.5,-42.34,100,76,2.13,broken clouds
83,Vung Tau,VN,10.346,107.0843,76.64,70,92,4.92,overcast clouds
84,Edd,ER,13.9297,41.6925,79.16,63,21,18.61,few clouds
85,Rawson,AR,-43.3002,-65.1023,88.5,20,0,33.62,clear sky
86,San Cristobal,VE,7.7669,-72.225,64.58,81,60,1.72,broken clouds
87,Atar,MR,20.5169,-13.0499,56.16,47,70,8.05,broken clouds
88,Tiznit,MA,29.5833,-9.5,46.38,44,0,4.94,clear sky
89,Lasa,IT,46.6166,10.7002,24.37,46,26,6.11,scattered clouds
90,Victoria,HK,22.2855,114.1577,63.32,33,3,5.99,clear sky
91,Nishihara,JP,26.1842,127.7558,60.46,51,75,16.11,broken clouds
92,Saint-Francois,FR,46.4154,3.9054,27.68,86,100,3.44,overcast clouds
93,Thompson,CA,55.7435,-97.8558,-24.95,100,83,5.14,broken clouds
94,Kodiak,US,57.79,-152.4072,38.71,100,100,3.44,light rain
95,Urumqi,CN,43.801,87.6005,5.95,78,53,4.47,smoke
96,Castro,BR,-24.7911,-50.0119,62.53,97,100,4.05,overcast clouds
97,Arraial Do Cabo,BR,-22.9661,-42.0278,76.48,90,90,21.68,overcast clouds
98,Ko Samui,TH,9.5357,99.9357,80.51,69,40,13.8,scattered clouds
99,Kapaa,US,22.0752,-159.319,73.72,67,40,23.02,light rain
100,Severo-Kurilsk,RU,50.6789,156.125,24.78,83,100,39.73,light snow
101,Tahe,CN,52.3333,124.7333,9.66,69,18,4.41,few clouds
102,Komsomolskiy,UZ,40.4272,71.7189,38.12,60,100,4.61,mist
103,Tongchuan,CN,35.0806,109.0897,47.19,16,0,4.56,clear sky
104,Esperance,AU,-33.8667,121.9,77.63,49,2,13.27,clear sky
105,Qaanaaq,GL,77.484,-69.3632,-13.94,71,25,7.09,scattered clouds
106,Kayankulam,IN,9.1833,76.5,83.3,57,26,2.91,scattered clouds
107,Awjilah,LY,29.1081,21.2869,50.68,62,5,7.65,clear sky
108,Hasaki,JP,35.7333,140.8333,51.22,42,11,10.6,few clouds
