City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Rio Grande,BR,2023-01-29 08:26:04,-32.035,-52.0986,70.14,91,0,8.97
59,Mpika,ZM,2023-01-29 08:26:05,-11.8343,31.4529,63.3,94,100,2.86
60,Del Rio,US,2023-01-29 08:26:06,29.3627,-100.8968,57.31,85,20,8.05
61,Barrow,US,2023-01-29 08:21:45,71.2906,-156.7887,-7.58,84,75,8.05
62,Carballo,ES,2023-01-29 08:26:07,43.213,-8.691,46.87,84,26,8.79
63,Nanchong,CN,2023-01-29 08:26:08,30.7951,106.0847,57.36,27,0,5.97
64,Cherskiy,RU,2023-01-29 08:26:09,68.75,161.3,-23.01,99,9,2.55
65,Cuamba,MZ,2023-01-29 08:26:10,-14.8031,36.5372,80.46,71,86,4.09
66,Port Alfred,ZA,2023-01-29 08:26:10,-33.5906,26.891,71.19,60,100,4.0
67,Cape Town,ZA,2023-01-29 08:26:12,-33.9258,18.4232,76.12,43,20,10.0
68,Pevek,RU,2023-01-29 08:26:14,69.7008,170.3133,1.44,94,15,8.52
69,Busselton,AU,2023-01-29 08:26:16,-33.65,115.3333,82.72,40,82,10.58
70,Winnemucca,US,2023-01-29 08:26:18,40.973,-117.7357,31.41,81,100,3.38
71,Provideniya,RU,2023-01-29 08:26:19,64.3833,-173.3,25.9,92,100,5.59
72,Adrar,MR,2023-01-29 08:26:20,20.5022,-10.0711,51.06,51,94,8.34
73,Arraial Do Cabo,BR,2023-01-29 08:26:21,-22.9661,-42.0278,76.96,88,75,5.75
74,Torbay,CA,2023-01-29 08:26:23,47.6666,-52.7314,29.57,78,75,6.91
75,Jamestown,US,2023-01-29 08:24:44,42.097,-79.2353,37.04,69,100,6.91
76,Holme,DK,2023-01-29 08:26:24,56.1138,10.1725,39.18,93,100,12.91
77,Sovetskiy,RU,2023-01-29 08:26:26,61.3614,63.5842,20.64,84,100,10.45
78,Valparaiso,CL,2023-01-29 08:26:27,-33.0393,-71.6273,55.04,94,0,2.3
79,Sabya,SA,2023-01-29 08:26:27,17.1495,42.6254,87.42,56,8,7.92
80,Yakeshi,CN,2023-01-29 08:26:29,49.2833,120.7333,-6.9,99,46,3.38
81,Bambous Virieux,MU,2023-01-29 08:26:30,-20.3428,57.7575,86.25,74,75,5.75
82,Anadyr,RU,2023-01-29 08:26:30,64.75,177.4833,28.9,86,75,20.13
83,Sobolevo,RU,2023-01-29 08:26:31,54.4299,31.8996,25.36,90,70,8.19
84,Sao Miguel Do Araguaia,BR,2023-01-29 08:26:32,-13.275,-50.1628,69.28,95,60,3.31
85,Mar Del Plata,AR,2023-01-29 08:26:33,-38.0023,-57.5575,69.87,90,0,8.99
86,Bam,IR,2023-01-29 08:26:34,29.106,58.357,49.33,38,0,6.76
87,Velikooktyabrskiy,RU,2023-01-29 08:26:35,57.4333,33.8159,21.97,92,100,9.46
88,Necochea,AR,2023-01-29 08:26:36,-38.5473,-58.7368,60.53,89,0,10.22
89,Agapia,RO,2023-01-29 08:26:36,47.1667,26.2833,31.68,80,66,6.49
90,San Cristobal,VE,2023-01-29 08:27:37,7.7669,-72.225,58.93,82,27,1.52
91,Qasigiannguit,GL,2023-01-29 08:27:38,68.8193,-51.1922,10.65,82,100,7.99
92,Port Elizabeth,ZA,2023-01-29 08:27:39,-33.918,25.5701,69.31,58,75,8.05
93,Victoria,HK,2023-01-29 08:23:38,22.2855,114.1577,64.26,35,3,13.0
94,Kapaa,US,2023-01-29 08:27:40,22.0752,-159.319,73.72,70,100,19.57
95,Ocos,GT,2023-01-29 08:27:42,14.5094,-92.1933,71.78,79,6,7.92
96,Poya,NC,2023-01-29 08:27:43,-21.35,165.15,76.08,88,100,4.97
97,Vaini,TO,2023-01-29 08:27:44,-21.2,-175.2,77.16,94,40,1.14
98,Vila Velha,BR,2023-01-29 08:27:46,-20.3297,-40.2925,76.95,96,20,4.61
99,Ariquemes,BR,2023-01-29 08:27:48,-9.9133,-63.0408,70.75,100,100,2.28
100,Kabalo,CD,2023-01-29 08:27:50,-6.05,26.9167,79.21,70,7,4.79
101,Hermanus,ZA,2023-01-29 08:27:51,-34.4187,19.2345,70.81,48,0,19.8
102,Rio Gallegos,AR,2023-01-29 08:27:54,-51.6226,-69.2181,50.05,66,0,8.05
103,Jacmel,HT,2023-01-29 08:27:54,18.2342,-72.5347,67.84,71,3,5.19
104,Vestmannaeyjar,IS,2023-01-29 08:27:55,63.4427,-20.2734,39.22,61,100,30.11
105,Narsaq,GL,2023-01-29 08:27:56,60.9167,-46.05,14.22,74,31,11.99
